amount_from,amount_to,fee_p2p_onnet,fee_p2p_xnet,fee_cashout,fee_otf
100,999,0,10,N/A,N/A
1000,2999,0,50,350,N/A
3000,3999,0,100,600,N/A
3000,4999,0,100,600,N/A
5000,6999,0,150,850,N/A
7000,7999,0,175,850,N/A
8000,9999,0,225,850,N/A
10000,19999,0,300,1400,N/A
20000,29999,0,350,1700,N/A
30000,39999,0,350,1700,N/A
40000,49999,0,400,2300,N/A
50000,99999,0,700,2650,N/A
100000,199999,0,900,3600,N/A
200000,299999,0,1000,5000,N/A
300000,399999,0,1500,6000,N/A
400000,499999,0,1500,6500,N/A
500000,599999,0,2200,7000,N/A
600000,699999,0,3200,7500,N/A
700000,799999,0,3200,7500,N/A
800000,899999,0,3500,8000,N/A
900000,1000000,0,3500,8000,N/A
1000001,3000000,0,3500,8000,N/A
1500000,1999999,0,3500,8000,N/A
2000000,2499999,0,3500,8000,N/A
2500000,3000000,0,3500,8000,N/A
3000001,5000000,0,N/A,9000,N/A
5000001,10000000,0,N/A,11000,N/A
