amount_from,amount_to,fee_p2p_onnet,fee_p2p_xnet,fee_cashout,fee_otf
100,999,8,8,NA,NA
1000,1999,18,18,275,350
2000,2999,25,25,295,380
3000,3999,35,35,375,475
4000,4900,45,45,400,530
5000,5999,70,70,550,710
6000,7999,80,80,680,790
8000,9999,85,85,680,825
10000,19999,200,200,1000,1250
20000,29999,260,260,1200,1550
30000,39999,280,280,1300,1620
40000,49999,280,280,1500,1800
50000,99999,420,420,1800,2350
100000,199999,460,460,2200,2750
200000,299999,620,620,3300,4200
300000,399999,850,850,4300,5600
400000,499999,950,950,5300,6600
500000,599999,1300,1300,5600,7500
600000,699999,1400,1400,6000,7600
700000,799999,1400,1400,6100,7650
800000,899999,1600,1600,6350,8100
900000,1000000,1750,1750,6500,8300
1000001,3000000,3500,3500,6800,NA
