amount_from,amount_to,fee_p2p_onnet,fee_p2p_xnet,fee_cashout,fee_otf
100,999,5,N/A,N/A,N/A
1000,1999,10,350,350,N/A
2000,2999,15,350,350,N/A
3000,3999,25,500,450,N/A
4000,4999,40,550,450,N/A
5000,6999,80,750,700,N/A
7000,7999,80,800,700,N/A
8000,9999,80,800,750,N/A
10000,19999,220,1400,1100,N/A
20000,29999,250,1600,1400,N/A
30000,39999,280,1700,1450,N/A
40000,49999,350,2200,1800,N/A
50000,99999,450,2600,2200,N/A
100000,199999,650,3600,2800,N/A
200000,299999,750,4750,4300,N/A
300000,399999,1150,5950,5000,N/A
400000,499999,1350,6550,5500,N/A
500000,599999,1750,7600,5600,N/A
600000,699999,2350,8500,6300,N/A
700000,799999,2400,8500,6400,N/A
800000,899999,2450,9000,7000,N/A
900000,1000000,2450,9000,7000,N/A
1000001,3000000,2800,N/A,7000,N/A
