amount_from,amount_to,fee_p2p_onnet,fee_p2p_xnet,fee_cashout,fee_otf
0,999,10,10,N/A,N/A
1000,2999,22,22,400,422
3000,3999,50,50,600,650
4000,4999,60,60,650,710
5000,9999,120,120,900,1020
10000,19999,310,310,1400,1710
20000,29999,365,365,1800,2165
30000,39999,365,365,1800,2165
40000,49999,410,410,2300,2710
50000,99999,715,715,2700,3415
100000,199999,1000,1000,3600,4600
200000,299999,1200,1200,5300,6500
300000,399999,1500,1500,6500,8000
400000,499999,1500,1500,7000,8500
500000,599999,2200,2200,7500,9700
600000,799999,3300,3300,8000,11300
800000,1000000,3300,3300,8000,11300
1000001,1500000,5000,5000,8000,N/A
1500000,N/A,5000,5000,8000,N/A
