amount_from,amount_to,fee_p2p_onnet,fee_p2p_xnet,fee_cashout,fee_otf
200,999,15,15,N/A,N/A
1000,1999,35,35,375,N/A
2000,2999,35,35,375,N/A
3000,3999,45,45,600,N/A
4000,4999,55,55,600,N/A
5000,9999,125,125,800,N/A
10000,14999,310,310,1300,N/A
15000,19999,310,310,1300,N/A
20000,29999,350,350,1650,N/A
30000,39999,350,350,1650,N/A
40000,49999,400,400,2250,N/A
50000,79999,650,650,2500,N/A
80000,99999,650,650,2500,N/A
100000,199999,900,900,3500,N/A
200000,299999,950,950,5000,N/A
300000,399999,1400,1400,6000,N/A
400000,499999,1400,1400,6500,N/A
500000,599999,2000,2000,7000,N/A
600000,799999,3000,3000,7500,N/A
800000,999999,3000,3000, 8000,N/A
1000000,1999999,4500,4500, 8000,N/A
2000000,3000000,4500,4500, 8000,N/A
